ip,date,extention
101.81.133.jja,2017-06-26,-index.htm
104.247.35.caa,2017-06-26,0000215457-16-001570.txt
104.247.35.caa,2017-06-26,0000769993-16-001076.txt
104.247.35.caa,2017-06-26,0000932471-16-012491.txt
104.247.35.caa,2017-06-26,0001193125-16-455456.txt
104.247.35.caa,2017-06-26,0001172661-16-002632.txt
104.247.35.caa,2017-06-26,0001193805-16-002595.txt
104.247.35.caa,2017-06-26,0000315066-16-005229.txt
107.22.225.dea,2017-06-26,-index.htm
107.22.225.dea,2017-06-26,d364947dex81.htm
107.23.85.jfd,2017-06-26,-index.htm
107.4.9.djb,2017-06-26,mrc-20161231x10k.htm
107.4.9.djb,2017-06-26,-index.htm
108.29.111.ffb,2017-06-26,a17-15057_16k.htm
108.29.111.ffb,2017-06-26,-index.htm
115.111.60.idd,2017-06-26,-index.htm
115.111.60.idd,2017-06-26,-index.html
116.226.190.eag,2017-06-26,-index.htm
117.91.1.hee,2017-06-26,-index.htm
120.26.124.hbc,2017-06-26,-index.htm
121.40.158.hec,2017-06-26,-index.htm
121.40.161.haf,2017-06-26,-index.htm
121.40.49.dff,2017-06-26,-index.htm
121.40.65.ebc,2017-06-26,-index.htm
123.123.182.fef,2017-06-26,Financial_Report.xlsx
128.175.241.beg,2017-06-26,dex992.htm
128.175.241.beg,2017-06-26,d8k.htm
128.175.241.beg,2017-06-26,htm_16378.htm
128.175.241.beg,2017-06-26,0001165527-06-000468.txt
128.175.241.beg,2017-06-26,0001193125-06-234902.txt
128.175.241.beg,2017-06-26,g1457.txt
128.175.241.beg,2017-06-26,dex991.htm
128.175.241.beg,2017-06-26,0001193125-06-215156.txt
128.91.91.iji,2017-06-26,0000950152-97-000422.txt
128.91.91.iji,2017-06-26,0000950134-01-506567.txt
128.91.91.iji,2017-06-26,0001004973-99-000004.txt
128.91.91.iji,2017-06-26,0001001039-15-000255.txt
128.91.91.iji,2017-06-26,0000107815-03-000008.txt
128.91.91.iji,2017-06-26,0000950123-96-001197.txt
128.91.91.iji,2017-06-26,0000893877-99-000199.txt
128.91.91.iji,2017-06-26,0001019687-07-002872.txt
128.91.91.iji,2017-06-26,0001169232-03-001978.txt
128.91.91.iji,2017-06-26,0000889005-00-000004.txt
128.91.91.iji,2017-06-26,0001206264-17-000021.txt
128.91.91.iji,2017-06-26,0001144204-12-014453.txt
128.91.91.iji,2017-06-26,0000743367-02-000054.txt
128.91.91.iji,2017-06-26,0000914317-98-000752.txt
128.91.91.iji,2017-06-26,0001193125-11-045072.txt
128.91.91.iji,2017-06-26,0001193125-10-055193.txt
128.91.91.iji,2017-06-26,0000912057-02-011719.txt
128.91.91.iji,2017-06-26,0000950123-09-038450.txt
134.121.98.jic,2017-06-26,form10k.htm
137.116.195.jga,2017-06-26,-index.htm
137.116.195.jga,2017-06-26,0001172661-17-001220.txt
137.116.195.jga,2017-06-26,0001606587-17-000351.txt
137.116.195.jga,2017-06-26,0001172661-17-001224.txt
137.116.195.jga,2017-06-26,0001112520-17-000019.txt
137.116.195.jga,2017-06-26,0001050442-17-000006.txt
137.116.195.jga,2017-06-26,0001140361-17-020698.txt
137.116.195.jga,2017-06-26,0001062993-17-002517.txt
137.116.195.jga,2017-06-26,0001140361-17-020547.txt
137.116.195.jga,2017-06-26,0001172661-17-001194.txt
137.116.195.jga,2017-06-26,0001172661-17-000979.txt
137.116.195.jga,2017-06-26,0001172661-17-000989.txt
137.116.195.jga,2017-06-26,0000905718-17-000559.txt
137.116.195.jga,2017-06-26,0000919574-17-004338.txt
137.116.195.jga,2017-06-26,0000950123-17-005324.txt
137.116.195.jga,2017-06-26,0001172661-17-001202.txt
137.116.195.jga,2017-06-26,0000945631-17-000010.txt
137.116.195.jga,2017-06-26,0001144204-17-027232.txt
138.246.2.cha,2017-06-26,0001338208-06-000003.txt
138.246.2.cha,2017-06-26,0001144204-06-022513.txt
138.246.2.cha,2017-06-26,0001144204-06-017074.txt
138.246.2.cha,2017-06-26,0001144204-06-036919.txt
138.246.2.cha,2017-06-26,0001144204-06-022511.txt
138.246.2.cha,2017-06-26,0001354488-06-000513.txt
138.246.2.cha,2017-06-26,0001354488-06-000518.txt
138.246.2.cha,2017-06-26,0000950152-06-009525.txt
141.160.13.ihd,2017-06-26,0001623632-17-000156.txt
141.160.13.ihd,2017-06-26,0001623632-17-000152.txt
141.160.13.ihd,2017-06-26,0001127602-17-002498.txt
141.160.13.ihd,2017-06-26,0001127602-17-002497.txt
141.160.13.ihd,2017-06-26,0001623632-17-000109.txt
141.160.13.ihd,2017-06-26,0001127602-17-002500.txt
141.160.13.ihd,2017-06-26,0001127602-17-002503.txt
156.56.14.jfc,2017-06-26,-index.htm
158.132.91.haf,2017-06-26,0001209191-15-034410.txt
158.132.91.haf,2017-06-26,0001209191-15-034390.txt
158.132.91.haf,2017-06-26,0001144204-15-022931.txt
158.132.91.haf,2017-06-26,0001209191-15-034346.txt
158.132.91.haf,2017-06-26,0001493152-15-001460.txt
163.172.71.jij,2017-06-26,v336807_sc13da.htm
163.231.6.edc,2017-06-26,d10k.htm
164.132.161.cje,2017-06-26,gnbc-20151231ex321026dfc.htm
164.132.161.efi,2017-06-26,primary_doc.xml
164.132.161.fie,2017-06-26,patientportal10q930exh312.txt
167.114.34.jea,2017-06-26,ddef14a.htm
167.160.109.ajc,2017-06-26,0001084178-01-500011.txt
167.160.109.ajc,2017-06-26,0000912057-01-001131.txt
167.160.109.ajc,2017-06-26,0001013762-01-000030.txt
167.160.109.ajc,2017-06-26,0000890566-01-000193.txt
167.160.109.ajc,2017-06-26,0001013762-01-000027.txt
167.160.109.ajc,2017-06-26,0000912057-01-007147.txt
172.113.252.hdj,2017-06-26,primary_doc.xml
180.76.15.eij,2017-06-26,xslF345X01/edgardoc.xml
180.76.15.hjh,2017-06-26,-index.htm
183.212.144.jde,2017-06-26,hmg-20161231_def.xml
184.56.140.ide,2017-06-26,0001144204-10-028669.txt
192.41.128.bbi,2017-06-26,0001092306-08-000538.txt
192.41.128.bbi,2017-06-26,0001104659-08-052644.txt
192.41.128.bbi,2017-06-26,0001193125-08-171286.txt
192.41.128.bbi,2017-06-26,0001290929-08-000068.txt
192.41.128.bbi,2017-06-26,0001092306-08-000651.txt
192.41.128.bbi,2017-06-26,0000897069-08-001319.txt
192.41.128.bbi,2017-06-26,0001092306-08-000595.txt
192.41.128.bbi,2017-06-26,0000950144-08-005806.txt
198.199.84.bfb,2017-06-26,-index.htm
198.199.84.bfb,2017-06-26,doc4.xml
201.242.170.dfh,2017-06-26,Financial_Report.xlsx
203.210.68.jhi,2017-06-26,-index.htm
207.241.231.iah,2017-06-26,0001188112-05-000454.txt
207.46.13.geh,2017-06-26,q12017exhibit1012-formofre.htm
207.46.13.geh,2017-06-26,xslF345X03/v445522_form4.xml
207.46.13.geh,2017-06-26,a12-30195_28k.htm
207.46.13.geh,2017-06-26,-index.htm
207.46.13.geh,2017-06-26,lq-10q_20170331.htm
213.105.134.fjf,2017-06-26,a2206796z13f-hr.txt
216.244.66.ddh,2017-06-26,sbux-9282014xexhibit991.htm
217.182.132.agj,2017-06-26,d803726d425.htm
217.182.132.bge,2017-06-26,0001250853-10-000083.txt
218.94.86.gcd,2017-06-26,-index.htm
220.181.108.bgj,2017-06-26,d767826d424b5.htm
220.181.108.icd,2017-06-26,d767826d424b5.htm
35.167.212.fha,2017-06-26,-index.htm
38.104.175.fjf,2017-06-26,v464818_ex99-1.htm
38.140.198.dgd,2017-06-26,exhibit99-1.htm
38.140.198.dgd,2017-06-26,form6k.htm
38.140.198.dgd,2017-06-26,-index.htm
38.140.198.dgd,2017-06-26,a51579683.htm
38.140.198.dgd,2017-06-26,a51579683ex99_1.htm
38.140.198.dgd,2017-06-26,a17-14593_156k.htm
40.114.246.eaj,2017-06-26,-index.htm
40.114.246.eaj,2017-06-26,0001278951-17-000004.txt
40.114.246.eaj,2017-06-26,0001352269-17-000011.txt
40.114.246.eaj,2017-06-26,0001353316-17-000006.txt
40.114.246.eaj,2017-06-26,0001549575-17-000006.txt
40.114.246.eaj,2017-06-26,0001172661-17-001119.txt
40.114.246.eaj,2017-06-26,0001085146-16-004698.txt
40.114.246.eaj,2017-06-26,0000950123-17-004380.txt
40.114.246.eaj,2017-06-26,0001172661-17-001035.txt
40.77.167.hbc,2017-06-26,-index.htm
40.77.167.hbc,2017-06-26,v405900_fwp.htm
49.44.51.bfb,2017-06-26,0000898432-04-000439.txt
49.44.51.bfb,2017-06-26,0001193125-04-088544.txt
49.44.51.bfb,2017-06-26,0000950129-04-003079.txt
49.77.226.jca,2017-06-26,-index.htm
52.73.130.fhf,2017-06-26,0000917520-04-000026.txt
52.90.157.idh,2017-06-26,9999999997-17-007235.txt
52.90.157.idh,2017-06-26,9999999997-17-007235.paper
52.90.157.idh,2017-06-26,-index.htm
54.158.86.dci,2017-06-26,-index.htm
54.161.162.fec,2017-06-26,0000769993-07-000936.hdr.sgml
54.161.162.fec,2017-06-26,0001181431-13-053172.txt
54.161.162.fec,2017-06-26,0001181431-13-052859.hdr.sgml
54.161.162.fec,2017-06-26,0001181431-13-052859.txt
54.161.162.fec,2017-06-26,0000769993-07-000936.txt
54.166.26.aca,2017-06-26,0000950109-98-004747.hdr.sgml
54.166.26.aca,2017-06-26,0000950152-02-001663.txt
54.166.26.aca,2017-06-26,0000950109-98-004747.txt
54.166.26.aca,2017-06-26,0000950152-02-001663.hdr.sgml
54.166.26.aca,2017-06-26,0001116679-05-002187.txt
54.173.101.aha,2017-06-26,9999999997-16-026706.txt
54.173.181.ghf,2017-06-26,-index.htm
54.175.208.fdh,2017-06-26,-index.htm
54.205.178.jhi,2017-06-26,0001114446-13-004297.txt
54.205.178.jhi,2017-06-26,0001181431-13-053176.hdr.sgml
54.205.178.jhi,2017-06-26,0001114446-13-004297.hdr.sgml
54.205.178.jhi,2017-06-26,0001181431-13-053176.txt
54.205.178.jhi,2017-06-26,0001181431-13-053215.txt
54.212.94.jcd,2017-06-26,-index.htm
54.212.94.jcd,2017-06-26,ex99122117pr-01.htm
54.212.94.jcd,2017-06-26,exhibit3112016.htm
54.212.94.jcd,2017-06-26,exhibit232-01.htm
54.67.64.eij,2017-06-26,primary_doc.xml
54.75.252.bfc,2017-06-26,-index.html
54.80.234.jhf,2017-06-26,0001181431-13-052715.txt
54.80.234.jhf,2017-06-26,0001104659-06-078690.hdr.sgml
54.80.234.jhf,2017-06-26,0001104659-06-078690.txt
54.80.234.jhf,2017-06-26,0001144204-11-040850.hdr.sgml
54.80.234.jhf,2017-06-26,0001144204-11-040850.txt
54.82.158.iee,2017-06-26,0000869392-97-000349.txt
54.82.158.iee,2017-06-26,0000870786-04-000214.hdr.sgml
54.82.158.iee,2017-06-26,0000870786-04-000214.txt
54.82.158.iee,2017-06-26,0001181431-13-053307.hdr.sgml
54.82.158.iee,2017-06-26,0001181431-13-053307.txt
54.89.107.aah,2017-06-26,0001171843-17-003805.txt
54.89.107.aah,2017-06-26,0001171843-17-003807.txt
54.89.107.aah,2017-06-26,0001179110-17-009554.txt
54.89.107.aah,2017-06-26,0001179110-17-009557.txt
54.91.240.cca,2017-06-26,0001144204-13-017134.hdr.sgml
54.91.240.cca,2017-06-26,0001144204-13-017134.txt
54.91.240.cca,2017-06-26,0000819539-04-000012.txt
62.65.39.jcf,2017-06-26,-index.htm
63.140.112.fdh,2017-06-26,0000950152-97-000543.txt
63.140.112.fdh,2017-06-26,0000950152-98-000581.txt
63.140.112.fdh,2017-06-26,0000950152-00-000425.txt
63.140.112.fdh,2017-06-26,0000950152-99-000509.txt
64.124.25.jig,2017-06-26,primary_doc.xml
64.125.175.fjb,2017-06-26,filename1.htm
64.211.51.bhf,2017-06-26,0001193125-12-405575.txt
66.249.66.aag,2017-06-26,d290946dex9926d1.htm
66.249.66.bdh,2017-06-26,xslF345X03/doc4.xml
66.249.66.bdh,2017-06-26,y65962e6vk.htm
66.249.66.bdh,2017-06-26,a2218760z20-f.htm
66.249.66.chj,2017-06-26,0001193125-12-172450.txt
66.249.66.fdf,2017-06-26,0000947871-06-000299.txt
66.249.66.jdi,2017-06-26,xslF345X03/doc4.xml
66.249.66.jjh,2017-06-26,s000092x8_s1a.htm
66.249.66.jjh,2017-06-26,0000947871-06-000299.txt
66.249.66.jjh,2017-06-26,d829490dex3119.htm
68.180.230.ede,2017-06-26,-index.htm
69.126.195.hbc,2017-06-26,0001193125-10-219088.txt
69.126.195.hbc,2017-06-26,0001193125-10-213116.txt
69.126.195.hbc,2017-06-26,0001193125-10-215722.txt
70.32.112.aab,2017-06-26,-index.htm
71.172.159.ejd,2017-06-26,-xbrl.zip
72.198.204.bgd,2017-06-26,0001493152-17-000384.hdr.sgml
72.198.204.bgd,2017-06-26,0001213900-17-002079.txt
72.198.204.bgd,2017-06-26,0001144204-17-013491.hdr.sgml
72.198.204.bgd,2017-06-26,0001213900-17-002079.hdr.sgml
72.198.204.bgd,2017-06-26,0001144204-17-013491.txt
73.222.244.jad,2017-06-26,0000889812-00-001498.txt
85.118.133.fcf,2017-06-26,-index.htm
86.153.150.jad,2017-06-26,xslF345X03/edgar.xml
86.153.150.jad,2017-06-26,-index.htm
86.153.150.jad,2017-06-26,filename1.htm
86.153.150.jad,2017-06-26,c22169_4x0.xml
86.153.150.jad,2017-06-26,form8_k0519112.htm
86.153.150.jad,2017-06-26,htm_42872.htm
86.153.150.jad,2017-06-26,xslF345X03/doc4.xml
86.153.150.jad,2017-06-26,xslF345X03/doc1.xml
86.153.150.jad,2017-06-26,edgar.xml
86.153.150.jad,2017-06-26,xslF345X03/c22169_4x0.xml
86.153.150.jad,2017-06-26,d8k.htm
86.153.150.jad,2017-06-26,doc4.xml
94.156.218.jad,2017-06-26,-index.htm
94.156.218.jad,2017-06-26,0001171843-17-003805.txt
